CustomerId,Date
1,1/1/2018
2,1/1/2018
3,1/1/2018
4,1/1/2018
5,1/1/2018
6,1/1/2018
7,1/1/2018
8,1/1/2018
9,1/1/2018
10,1/1/2018
11,1/1/2018
12,1/1/2018
13,1/1/2018
14,1/1/2018
15,1/1/2018
16,1/1/2018
17,1/1/2018
18,1/1/2018
19,1/1/2018
20,1/1/2018
21,1/1/2018
22,1/1/2018
23,1/1/2018
24,1/1/2018
25,1/1/2018
26,1/1/2018
27,1/1/2018
28,1/1/2018
29,1/1/2018
30,1/1/2018
31,1/1/2018
32,1/1/2018
33,1/1/2018
34,1/1/2018
35,1/1/2018
36,1/1/2018
37,1/1/2018
38,1/1/2018
39,1/1/2018
40,1/1/2018
41,1/1/2018
42,1/1/2018
43,1/1/2018
44,1/1/2018
45,1/1/2018
46,1/1/2018
47,1/1/2018
48,1/1/2018
49,1/1/2018
50,1/1/2018
51,1/1/2018
52,1/1/2018
53,1/1/2018
54,1/1/2018
55,1/1/2018
56,1/1/2018
57,1/1/2018
58,1/1/2018
59,1/1/2018
60,1/1/2018
61,1/1/2018
62,1/1/2018
63,1/1/2018
64,1/1/2018
65,1/1/2018
66,1/1/2018
67,1/1/2018
68,1/1/2018
69,1/1/2018
70,1/1/2018
71,1/1/2018
72,1/1/2018
73,1/1/2018
74,1/1/2018
75,1/1/2018
76,1/1/2018
77,1/1/2018
78,1/1/2018
79,1/1/2018
80,1/1/2018
81,1/1/2018
82,1/1/2018
83,1/1/2018
84,1/1/2018
85,1/1/2018
86,1/1/2018
87,1/1/2018
88,1/1/2018
89,1/1/2018
90,1/1/2018
91,1/1/2018
92,1/1/2018
93,1/1/2018
94,1/1/2018
95,1/1/2018
96,1/1/2018
97,1/1/2018
98,1/1/2018
99,1/1/2018
100,1/1/2018
1,2/1/2018
2,2/1/2018
3,2/1/2018
4,2/1/2018
5,2/1/2018
6,2/1/2018
7,2/1/2018
8,2/1/2018
9,2/1/2018
10,2/1/2018
11,2/1/2018
12,2/1/2018
13,2/1/2018
14,2/1/2018
15,2/1/2018
16,2/1/2018
17,2/1/2018
18,2/1/2018
19,2/1/2018
20,2/1/2018
21,2/1/2018
22,2/1/2018
23,2/1/2018
24,2/1/2018
26,2/1/2018
27,2/1/2018
28,2/1/2018
29,2/1/2018
30,2/1/2018
31,2/1/2018
32,2/1/2018
33,2/1/2018
35,2/1/2018
36,2/1/2018
37,2/1/2018
38,2/1/2018
39,2/1/2018
40,2/1/2018
41,2/1/2018
42,2/1/2018
43,2/1/2018
44,2/1/2018
45,2/1/2018
46,2/1/2018
48,2/1/2018
50,2/1/2018
51,2/1/2018
52,2/1/2018
54,2/1/2018
55,2/1/2018
56,2/1/2018
57,2/1/2018
58,2/1/2018
60,2/1/2018
61,2/1/2018
62,2/1/2018
63,2/1/2018
64,2/1/2018
65,2/1/2018
66,2/1/2018
67,2/1/2018
69,2/1/2018
70,2/1/2018
71,2/1/2018
72,2/1/2018
73,2/1/2018
74,2/1/2018
75,2/1/2018
76,2/1/2018
77,2/1/2018
78,2/1/2018
79,2/1/2018
80,2/1/2018
81,2/1/2018
82,2/1/2018
83,2/1/2018
84,2/1/2018
85,2/1/2018
86,2/1/2018
87,2/1/2018
88,2/1/2018
89,2/1/2018
91,2/1/2018
92,2/1/2018
93,2/1/2018
94,2/1/2018
95,2/1/2018
96,2/1/2018
97,2/1/2018
98,2/1/2018
99,2/1/2018
100,2/1/2018
101,2/1/2018
102,2/1/2018
103,2/1/2018
104,2/1/2018
105,2/1/2018
106,2/1/2018
107,2/1/2018
108,2/1/2018
109,2/1/2018
110,2/1/2018
111,2/1/2018
112,2/1/2018
113,2/1/2018
114,2/1/2018
115,2/1/2018
116,2/1/2018
117,2/1/2018
118,2/1/2018
119,2/1/2018
120,2/1/2018
121,2/1/2018
122,2/1/2018
123,2/1/2018
124,2/1/2018
125,2/1/2018
126,2/1/2018
127,2/1/2018
128,2/1/2018
129,2/1/2018
130,2/1/2018
131,2/1/2018
132,2/1/2018
133,2/1/2018
134,2/1/2018
135,2/1/2018
136,2/1/2018
137,2/1/2018
138,2/1/2018
139,2/1/2018
140,2/1/2018
141,2/1/2018
142,2/1/2018
143,2/1/2018
144,2/1/2018
145,2/1/2018
146,2/1/2018
147,2/1/2018
148,2/1/2018
149,2/1/2018
150,2/1/2018
151,2/1/2018
152,2/1/2018
153,2/1/2018
154,2/1/2018
155,2/1/2018
156,2/1/2018
157,2/1/2018
158,2/1/2018
159,2/1/2018
160,2/1/2018
161,2/1/2018
162,2/1/2018
163,2/1/2018
164,2/1/2018
165,2/1/2018
166,2/1/2018
167,2/1/2018
168,2/1/2018
169,2/1/2018
170,2/1/2018
171,2/1/2018
172,2/1/2018
173,2/1/2018
174,2/1/2018
175,2/1/2018
176,2/1/2018
177,2/1/2018
178,2/1/2018
179,2/1/2018
180,2/1/2018
181,2/1/2018
182,2/1/2018
183,2/1/2018
184,2/1/2018
185,2/1/2018
186,2/1/2018
187,2/1/2018
188,2/1/2018
189,2/1/2018
190,2/1/2018
191,2/1/2018
192,2/1/2018
193,2/1/2018
194,2/1/2018
195,2/1/2018
196,2/1/2018
197,2/1/2018
198,2/1/2018
1,3/1/2018
2,3/1/2018
3,3/1/2018
4,3/1/2018
5,3/1/2018
6,3/1/2018
7,3/1/2018
8,3/1/2018
9,3/1/2018
10,3/1/2018
11,3/1/2018
12,3/1/2018
13,3/1/2018
14,3/1/2018
15,3/1/2018
16,3/1/2018
17,3/1/2018
18,3/1/2018
19,3/1/2018
21,3/1/2018
22,3/1/2018
23,3/1/2018
24,3/1/2018
26,3/1/2018
27,3/1/2018
28,3/1/2018
30,3/1/2018
31,3/1/2018
32,3/1/2018
33,3/1/2018
35,3/1/2018
36,3/1/2018
37,3/1/2018
38,3/1/2018
39,3/1/2018
40,3/1/2018
41,3/1/2018
42,3/1/2018
43,3/1/2018
44,3/1/2018
45,3/1/2018
46,3/1/2018
48,3/1/2018
50,3/1/2018
51,3/1/2018
52,3/1/2018
54,3/1/2018
55,3/1/2018
56,3/1/2018
57,3/1/2018
58,3/1/2018
60,3/1/2018
61,3/1/2018
62,3/1/2018
63,3/1/2018
64,3/1/2018
65,3/1/2018
66,3/1/2018
67,3/1/2018
69,3/1/2018
70,3/1/2018
71,3/1/2018
72,3/1/2018
73,3/1/2018
74,3/1/2018
75,3/1/2018
76,3/1/2018
77,3/1/2018
78,3/1/2018
79,3/1/2018
80,3/1/2018
81,3/1/2018
82,3/1/2018
83,3/1/2018
84,3/1/2018
85,3/1/2018
87,3/1/2018
88,3/1/2018
89,3/1/2018
